hayley geftman gold this freak show liberal c you n t needs to be unemployed for the rest of her pathetic life,1.0
instead,3.0
by the way which telegram channels are you following mate,3.0
horrific news in las vegas  my thoughts and prayer to everyone injured and the families of those who lost their lives,2.0
and ucd ppl,3.0
waking up this morning to the   my heart hurts  lord,4.0
as we pray for the victims of the,3.0
prays going out to the families and friends in,3.0
music stars stunned by deadly shooting at country music festival in las vegas,5.0
at least two killed in during country music festival,3.0
shooter confirmed at nyny vegas moving towards excalibur,3.0
sad times we live in,4.0
scene now at the blood bank on charleston  i am so proud of las vegas right now,3.0
soon  las vegas sheriff holds press conference with latest on deadly concert shooting,3.0
statement says converted to islam months ago but   are they just profiting the situation,3.0
fuck you,0.0
mountain view hospital taking in patients  unconfirmed number and status,3.0
please outlaw assault rifles  do one good thing during your presidency for the love of god,3.0
i'm tired of your thoughts   prayers  either do something concrete to stop this from happening again,4.0
act of pure evil  its a act of terrorism donald    i guess the shooter is not a muslim enough,2.0
i dare anyone who sees this to drop the politics and hate today and say a prayer for the people effected in las vegas,0.0
my thoughts and prayers go out to everyone involved  heart broken,4.0
praying for the victims and their families of,3.0
our prayers go out to everyone affected by the tragedy of the last night,3.0
please help if you'se able to,3.0
today,3.0
after watching videos from people in the las vegas shooting i can't help but cry  my prayers go out to everyone affected,4.0
unloading multiple smg rounds on an open country music concert crowd is as dark as 2017 can get,3.0
i keep reading stories about and cannon wrap my head around the amount of evil and heartbreak,4.0
unless you re praying that gun control laws are changed,3.0
president has directed us flags to fly at half mast until sunset on friday,3.0
nola suffers from intense gun violence  our nation suffers from intense gun violence  let's move forward with solutions,3.0
our thoughts are with the families of the victims of the las vegas shooting  sad,4.0
pray for this cold world,3.0
and what was the religion of the shooter terrorist,2.0
america shrugged when 20 children were killed at america will yawn at these 58,3.0
when i heard this my heart dropped,3.0
this is a map of the area where the took,3.0
enough of your congress  do something and stand up against the for once,3.0
two people are dead and 24 injured   at least 12 critically   source,3.0
as the day goes on the tragedy of becomes more   more devastating  this in t what should be about,5.0
did you hear the audio of the gunfire  that was 1 person,3.0
make america great again     milan have best defence in serie a   anyway pray for no more jokes needed,3.0
beyond saddened by the news from las vegas  my prayers   thoughts are w the victims   their families this morning,4.0
what is this world coming to,3.0
sad,4.0
if you are not in a war,3.0
my heart aches for all those involved in the las vegas shooting,3.0
for working tirelessly to save lives,3.0
terrorism is an insane act,2.0
how many of these shootings do we need to have before we consider real gun regulations,3.0
i just want to say thankyou to all of the people who run towards the danger as their jobs or just citizens wanting to help,0.0
this is what a president should be sweeting  not   warmest condolences   as if hers signing a sympathy card,3.0
some info on the terrorist that carried out the   stephen paddock  5 fast facts you need to know,2.0
i don't understand how he can laugh out if his brother just killed more than 50 innocent lives overnight,3.0
no it n't about race but tbh,3.0
is profiteering from death,3.0
in wake of todays,3.0
people choked up about newtown   pulse   aurora and  pick one  there are plenty  too  and nothing will change  nothing,4.0
please stop praying and create policy,3.0
lone wolf white gunman,3.0
preventing innocent americans from being murdered at concerts wouldn't be a partisan issue  it's a matter of health safety,3.0
i'll bet that he was known to law enforcement for being abusive to women  a trait that always gets ignored,3.0
stop the if you make laws out of fear your bound to make more problems,2.0
it's terrorism regardless of race     innocent loved ones are now dead,2.0
our thoughts and prayers are with you victims and their,3.0
only thing the prays for is money   power,3.0
when will these mass shootings stop  when will we finally come together as a nation,3.0
is such a sickening tragedy  further it is unfortunate in america we will never be able to stop it from happening again,0.0
claims,3.0
just heard about what happened in las vegas     i hope everyone is safe,3.0
it's good we have the travel ban to protect us right now  otherwise,3.0
