seeing the hundreds of people in line waiting to donate blood put tears in my eyes,4.0
put out an amazing song today  it was the miracle i needed after donating blood to orlando,3.0
another reason to support and,3.0
my thoughts and prayers go out to those involved in the shooting  gun reform is a must,3.0
universal superstar parade sending our love,3.0
please continue to help in any way you can,3.0
so saddened angry to hear about the     praying for those affected and their families,0.0
i can't today  what has to happen before the country decides to change some things  orlando i'm with you,3.0
that three's no place for religious extremism that does not allow people to simply exist,3.0
have not stopped crying to think i was almost a victim,4.0
there is a vigil being planned in orlando for folks that want to pay respects,3.0
perhaps in uk or in us  but,3.0
kinda of a problem with gun control but mostly a sheep to a   peaceful   religion,3.0
if you r dying r you going to ask who is saving your life i think not,3.0
so proud to work for and to call my home,3.0
proud of austin  thank you for your words and your actions,3.0
worst mass shooting or worst act of terrorism on us soil since 2001,0.0
trump ignores that no syrian refugee has committed act of terror in us  this is nonsense and pure fear wondering,2.0
volunteers are estimating a 2 3 hr wait at st luke's church for people looking to give blood,3.0
my thoughts are with the victims of todays tragedy  i don't have mush to say that i can easily put into words,3.0
why do these things keep happening  my love and prayers go out to everyone affected by this tragedy,3.0
saturdays are latin nights,3.0
a few facts about the events leading up to the that everyone should,3.0
but roots is from,3.0
we know enough to say this was an act of terror and an act of hate    on,0.0
questioned 3 times by fbi and then employed by g4s is this some kind of sick joke,0.0
once again islamophobia used to cover crime,3.0
it's good to see that no one is wasting time to use the shooting to further their own,3.0
the way our politicians react to proves that we need the and more than even,3.0
though the was beyond comprehension   horrible,0.0
vigil to be held at in wilton manors at 5 p m  this evening,3.0
you can't make sense of nonsense,3.0
another witness,3.0
shooting  brought to you by arms trafficker front group,3.0
reminder a broken system   the republicans inability to help prevent this,4.0
there's absolutely nothing worse then waking up turning on the news,3.0
how many more to die before legislators put people and life first and politics and lobbyist behind  this is just too bad,3.0
all of my thoughts and prayers go to the victims,3.0
if this is the last thing i hear from my child just kill me right then   there  he fucking died,0.0
i think whats most upsetting about this entire ordeal is that there were probably people murdered who haunt came out yet,4.0
our thoughts and prayers are with all involved in the orlando tragedy,3.0
this is just so sad and heartbreaking,4.0
my prayers for all of those affected by the orlando shootings and their families  we are with you,3.0
politicians are using as a political football swaying votes in different directions,3.0
another editorial from my tc media colleagues on   missed call,3.0
just found out about the holy shit thats cray  he was 10 away from 69  that must be the largest domestic shooting to date,0.0
because dillon roof has yet to be labeled a terrorist  the labelling based on race is tired af  call them all or none,2.0
sending my love to all lovers around the world,3.0
that you keep on bringing up rit when it has absolutely nothing 2 do w reveals ur h8,3.0
did the just hand over the to the worlds most dangerous man,0.0
guns were not used during 9 11  i don't see anyone trying to ban planes,3.0
vigil march to city,3.0
who was the orlando shooter  a closer look,3.0
if you believe in equal rights for lgbt,3.0
a8  i'm touched by all who are stepping up to help the cause   bring real positive change after the    3,3.0
my heart goes out to the victims and families involved in this senseless act of terrorism  when will enough be enough,1.0
my heart and prayers is with everyone who attended for what should have been an enjoyable night out  shocking news,5.0
no matter the religion  choosing extremist morals over ethics   belief in is the problem   shooting victims,3.0
i am born and raised in orlando  such a sad day here  i'll never understand the thinking of those that harm others,4.0
i don't know the solution to this but i do know that people who are not ltq friendly should gtf of usa,3.0
god bless the families of the people who were killed in the   my heart goes out,3.0
memorials set up for the victims of at springer market square vigil,3.0
john oliver speaks out about the,3.0
god bless the first responders,3.0
my for the when the hard times hit we need to,3.0
about the shootings,3.0
for those who may not understand why religious people would rationalize the at church this morning,3.0
will get through this sad,4.0
director james comey says three's   no indication   was directed from outside,3.0
heartfelt condolences to the more than 50 families suffering a loss  may god bless our nation,3.0
trump really does help isis yesterday he proved it,3.0
these politicians sending fake condolences are same ones trying to pass   legislations,3.0
please take a moment to send positive energy thoughts to those who are suffering from this tragedy,3.0
someone tell rick scott this is not about his kids,3.0
in tears for   fly free my sweet sweet brothers and sisters,4.0
my goes out to everyone was affected by this tragedy  those who died can rip   who were injured can make full recoveries,3.0
i feel today is not the time to have a political agenda,3.0
my heart is so heavy  i am beyond sad  my prayers   love goes to all those affected on every level,4.0
the latest updates on the and its victims on our webster,3.0
language used re killer by diff from re   cc,3.0
140 characters n't enough to express how i feel so i shared my feelings on casebook,3.0
new information out this morning     including why swat waited 3 hours to bust in the nightclub  details now,3.0
not surprisingly the shooter beat his ex wife  if we took claims like that more seriously he might have been behind bars,5.0
i'm def not telling my family i'm going to any pride events today after the in   they would freak out,3.0
ag   attack on who we are as a nation and a people,3.0
its a sad sober day its almost been 24 hrs and those poor families still not knowing about their love ones,4.0
my aches as i learn more about the,3.0
does anybody have any idea as to how were going to spin this one  i've got nothin',3.0
i'm still feeling sick about it's all i can think about,0.0
our hearts are with the victims affected by this terrible tragedy that happened last night,2.0
notice  will provide free seats on open flights to from orl for immediate family of victims,3.0
i wonder if will take action on gun violence or if  10k from nra proves more important    show leadership,3.0
bigot politicians dig the graves of the oppressed with rhetoric,3.0
there are at least 5 reports of shootings in us everyday  number only keeps increasing let's pray for healing in our land,3.0
on assignment for covering waiting for the to,3.0
that coward targeted not only my gay brothers,3.0
i'm going to the 8 15 vigil in portland  going to mourn,3.0
heartbreaking stuff for any parent  sick sick world at times,0.0
it overall was a good racing weekend,3.0
i wish this happen in every gay club in the world,3.0
my prayers are with the victims families and those affected by the shooting at in orlando,3.0
how can i send you 20 for a tee shirt and have it delivered to canada,3.0
he took away their voices so i'll get louder for them,3.0
why is it that,3.0
my prayers for all the victims   families of the,3.0
ban on   gay blood    gtfoh  it's 2016 and ppl still don't know heterosexuals can also contract hiv,3.0
i really don't know how a person can do this kind of atrocities  god please bless,3.0
security company scared to fire because of lawsuit,2.0
this brave woman is looking for her brother frank hernandez,3.0
also,3.0
there is a lot of hate in this world to overcome  we will,0.0
remember remember the lives taken by hateful minds,0.0
there's no such thing as a   lone wolf   attack  he had help  they always have help in some form or fashion,3.0
i've never been one to think there is such a thing as a gay community,3.0
i pay homage to every global citizen that works tirelessly to building human connections  gotta stop destroying 1 another,3.0
time to tell our elected officials to get their and shove them up their asses  we want actions,3.0
can we get an understanding,3.0
statement from on at,3.0
just in  says it appears gunman in was inspired by extremist information disseminated over internet,3.0
central florida theme parks respond to the with love,3.0
candlelight vigil for victims tonight at krutch park in downtown,3.0
"""""""""""""",3.0
